#CODE;RUSSIAN;x
LEDGER_SORT_DELAYED;§GКликните, чтобы сортировать столбец§W;x
show_true_humility;Показана истинная покорность;x
shown_true_humility;Оценена наша покорность;x
talent_recognized;Признаёт мою одарённость;x
slothful_ruler;Ленивый правитель;x
nick_the_lisp_and_lame;Шепеляв[This.GetAyaYy] и хром[This.GetAyaOy];x
ANY_WARD_STARTS;Любой район;x
TITLE_CANNOT_USURP_BEFORE;Невозможно узурпировать этот титул до §Y$DATE$§!;x
fair;Привлекательн[_ый];x #GetAyaYy_TT_ый
c_grassland_cheremisa_adj;Керженет[];x
c_mountain_cheremisa_adj;Черемис[];x
PROV589;Керженец;x
PROV591;Черемиса;x
black_honor;Нарушение феодальных обязательств;x
EVTOPTF40020;Публично разоблачить нанимателя убийцы!;x
EVTTOOLTIP40026;будет разоблачен[This.GetEndA] как наниматель[This.GetEndNitsa] убийц;x
EVTDESC40026;Мало того, что нашего убийцу обнаружили, он ещё и выдал нас. Теперь [From.GetBestName] демонстрирует всем в [Root.PrimaryTitle.GetAdjective]ском государстве доказательства того, что мы нарушили феодальный договор с вассалом.;x
EVTOPTA40026;Это дурная весть...;x
deceitful_martial;Притворный военный навык;x
deceitful_stewardship;Притворная хозяйственность;x
deceitful_diplomacy;Притворная дипломатичность;x
deceitful_learning;Притворная образованность;x
EVTDESC3260;Я не особо люблю войны, и некоторые считают, что я веду себя недостойно звания благородного человека. К счастью я знаю, как это изменить.;x
EVTOPTA3260;Красивые историю создадут нужный имидж.;x
EVTOPTB3260;[Root.job_marshal.GetTitledFirstName] у нас по военной части.;x
EVTDESC3261;Я не могу постоянно вникать в тонкости управления владениями. Я полагаюсь в этом на других, но заставляю их верить, что занимаюсь куда более важными делами.;x
EVTOPTA3261;Вот и прекрасно...;x
EVTOPTB3261;[Root.job_treasurer.GetTitledFirstName] сделает всё за меня.;x
EVTDESC3262;Иногда я могу не учесть все тонкости дипломатии и попасть в неловкую ситуацию. Но когда дела плохи, я, аккуратно манипулирую придворными, перекладывая на них часть своей работы.;x
EVTOPTA3262;Это и называется службой.;x
EVTOPTB3262;Пусть [Root.GetChancellorName] занимается дипломатией.;x
EVTDESC3263;Я не дружу с книгами и, если бы не некоторая осторожность в дискуссиях, моя невежественность стала бы очевидной для всего двора.;x
EVTOPTA3263;Пара мудрых цитат сделают своё дело.;x
EVTOPTB3263;[Root.job_spiritual.GetTitledFirstName] не обрадуется.;x
EVTDESC73200;Досадно, что [Root.Liege.GetTitledFirstName] держит на должности военачальника такого человека, как [Root.job_marshal.GetTitledFirstName]. Я больше подхожу для этого!;x
EVTOPTA73200;Я подам прошение!;x
EVTTOOLTIP73201;сюзерен услышит о моем прошении и, надеюсь, сделает правильный выбор.;x
EVTDESC73201;[From.GetBestName] заявляет, что из н[From.GetHersHis] выйдет лучший [Root.GetMarshalName] чем [Root.job_marshal.GetTitledFirstName] и просит себе этот пост.;x
EVTOPTA73201;[From.GetSheHeCap] теперь [Root.GetMarshalName].;x
EVTOPTB73201;[Root.job_marshal.GetFirstName] ещё может проявить себя!;x
EVTTOOLTIP73202;услышит о нашем терпении;x
EVTOPTC73201;Только я решаю, когда и кого назначать в этой стране!;x
EVTDESC73202;[From.GetBestName] не выражает удовлетворённости моими действиями в должности военачальника и подыскивает мне замену.;x
EVTOPTA73202;Нужно проявить себя с лучшей стороны!;x
EVTOPTB73202;Но что я могу сделать?;x
EVTDESC73203;Моё терпение на исходе, я заслуживаю должность "[Root.Liege.GetMarshalName] государства [Root.PrimaryTitle.GetFullName]" и [Root.Liege.GetTitledFirstName] даст её мне!;x
EVTOPTA73203;Я с нетерпением жду [Root.Liege.GetHersHis] ответа.;x
EVTTOOLTIP73204;сюзерен услышит о моём прошении и, надеюсь, сделает мудрый выбор.;x
EVTOPTA73204;[From.GetSheHeCap] теперь [Root.GetMarshalName].;x
EVTOPTC73204;Только я решаю, когда и кого назначать!;x
EVTDESC73205;[This.GetBestName].\nСим жалую Вам должность "[From.GetMarshalName] государства [Root.PrimaryTitle.GetFullName]".\n[From.GetBestName];x
EVTOPTA73205;Я это заслуживаю...;x
EVTDESC73210;Досадно, что [Root.Liege.GetTitledFirstName] держит своим тайным советником такого человека, как [Root.job_spymaster.GetTitledFirstName]. Я более подхожу для этой должности!;x
EVTOPTA73210;Я подам прошение!;x
EVTTOOLTIP73211;сюзерен услышит о моём прошении и, надеюсь, сделает правильный выбор.;x
EVTDESC73211;[From.GetBestName] заявляет, что лучше подходит на должность "[Root.GetSpymasterName]" чем [Root.job_spymaster.GetTitledFirstName] и просит её себе.;x
EVTOPTA73211;[From.GetSheHeCap] теперь [Root.GetSpymasterName];x
EVTOPTB73211;[Root.job_spymaster.GetTitledFirstName] ещё может проявить себя!;x
EVTTOOLTIP73212;услышит о нашем терпении;x
EVTOPTC73211;Только я решаю, когда и кого назначать!;x
EVTDESC73212;[From.GetBestName] не выражает удовлетворения моими действиями в должности тайного советника и подыскивает мне замену.;x
EVTOPTA73212;Нужно проявить себя с лучшей стороны!;x
EVTOPTB73212;Но что я могу сделать?;x
EVTDESC73213;Моё терпение на исходе, я заслуживаю должность тайного советника в государстве "[Root.PrimaryTitle.GetFullName]" и [Root.Liege.GetTitledFirstName] назначит меня!;x
EVTOPTA73213;Я с нетерпением жду [Root.Liege.GetHersHis] ответа.;x
EVTTOOLTIP73214;сюзерен услышит о моём прошении и, надеюсь, сделает мудрый выбор.;x
EVTOPTA73214;[From.GetSheHeCap] теперь [Root.GetSpymasterName].;x
EVTOPTC73214;Только я решаю, когда и кого назначать в этой стране!;x
EVTDESC73215;[This.GetBestName].\nСим жалую Вам должность тайного советника в государстве "[Root.PrimaryTitle.GetFullName]".\n[From.GetBestName];x
EVTOPTA73215;Я это заслуживаю...;x
EVTDESC73220;Досадно, что [Root.Liege.GetTitledFirstName] держит на должности "[Root.GetTreasurerName]" такого человека, как [Root.job_treasurer.GetTitledFirstName]. Я больше подхожу для этого!;x
EVTOPTA73220;Я подам прошение!;x
EVTTOOLTIP73221;сюзерен услышит о моем прошении и, надеюсь, сделает мудрый выбор.;x
EVTDESC73221;[From.GetBestName] заявляет, что лучше подходит для должности "[Root.GetTreasurerName]" чем [Root.job_treasurer.GetTitledFirstName] и просит себе эту должность.;x
EVTOPTA73221;[From.GetSheHeCap] теперь [Root.GetTreasurerName];x
EVTOPTB73221;[Root.job_treasurer.GetTitledFirstName] ещё может проявить себя!;x
EVTTOOLTIP73222;Услышит о нашем терпении;x
EVTOPTC73221;Только я решаю, когда и кого назначать в этой стране!;x
EVTDESC73222;[From.GetBestName] не выражает удовлетворения моими действиями в должности "[Root.GetTreasurerName]" и подыскивает замену.;x
EVTOPTA73222;Нужно проявить себя с лучшей стороны!;x
EVTOPTB73222;Но что я могу сделать?;x
EVTDESC73223;Моё терпение на исходе, я заслуживаю должность "[Root.Liege.GetTreasurerName] государства [Root.PrimaryTitle.GetFullName]" и [Root.Liege.GetTitledFirstName] назначит меня!;x
EVTOPTA73223;Я с нетерпением жду [Root.Liege.GetHersHis] ответа.;x
EVTTOOLTIP73224;сюзерен услышит о моем прошении и, надеюсь, сделает мудрый выбор.;x
EVTOPTA73224;[From.GetSheHeCap] теперь [Root.GetTreasurerName].;x
EVTOPTC73224;Только я решаю, когда и кого назначать!;x
EVTDESC73225;[This.GetBestName].\nСим жалую Вам должность "[Root.GetTreasurerName] государства [Root.PrimaryTitle.GetFullName]".\n[From.GetBestName];x
EVTOPTA73230;Я подам прошение!;x
EVTTOOLTIP73231;сюзерен услышит о моем прошении и, надеюсь, сделает мудрый выбор.;x
